,Edad,Fecha,Total vacunados
838,108,2020-12-31,0.0
839,109,2020-12-31,0.0
840,110,2020-12-31,0.0
841,111,2020-12-31,0.0
842,112,2020-12-31,0.0
843,116,2020-12-31,0.0
844,120,2020-12-31,0.0
845,121,2020-12-31,0.0
846,124,2020-12-31,0.0
847,221,2020-12-31,0.0
848,12,2021-01-01,0.0
849,13,2021-01-01,0.0
850,14,2021-01-01,0.0
851,15,2021-01-01,0.0
852,16,2021-01-01,0.0
853,17,2021-01-01,0.0
854,18,2021-01-01,0.0
855,19,2021-01-01,0.0
856,20,2021-01-01,0.0
857,21,2021-01-01,0.0
858,22,2021-01-01,0.0
859,23,2021-01-01,0.0
860,24,2021-01-01,0.0
861,25,2021-01-01,0.0
862,26,2021-01-01,0.0
863,27,2021-01-01,0.0
864,28,2021-01-01,0.0
865,29,2021-01-01,0.0
866,30,2021-01-01,0.0
867,31,2021-01-01,0.0
868,32,2021-01-01,0.0
869,33,2021-01-01,0.0
870,34,2021-01-01,0.0
871,35,2021-01-01,0.0
872,36,2021-01-01,0.0
873,37,2021-01-01,0.0
874,38,2021-01-01,0.0
875,39,2021-01-01,0.0
876,40,2021-01-01,0.0
877,41,2021-01-01,0.0
878,42,2021-01-01,0.0
879,43,2021-01-01,0.0
880,44,2021-01-01,0.0
881,45,2021-01-01,0.0
882,46,2021-01-01,0.0
883,47,2021-01-01,0.0
884,48,2021-01-01,0.0
885,49,2021-01-01,0.0
886,50,2021-01-01,0.0
887,51,2021-01-01,0.0
888,52,2021-01-01,0.0
889,53,2021-01-01,0.0
890,54,2021-01-01,0.0
891,55,2021-01-01,0.0
892,56,2021-01-01,0.0
893,57,2021-01-01,0.0
894,58,2021-01-01,0.0
895,59,2021-01-01,0.0
896,60,2021-01-01,0.0
897,61,2021-01-01,0.0
898,62,2021-01-01,0.0
899,63,2021-01-01,0.0
900,64,2021-01-01,0.0
901,65,2021-01-01,0.0
902,66,2021-01-01,0.0
903,67,2021-01-01,0.0
904,68,2021-01-01,0.0
905,69,2021-01-01,0.0
906,70,2021-01-01,0.0
907,71,2021-01-01,0.0
908,72,2021-01-01,0.0
909,73,2021-01-01,0.0
910,74,2021-01-01,0.0
911,75,2021-01-01,0.0
912,76,2021-01-01,0.0
913,77,2021-01-01,0.0
914,78,2021-01-01,0.0
915,79,2021-01-01,0.0
916,80,2021-01-01,0.0
917,81,2021-01-01,0.0
918,82,2021-01-01,0.0
919,83,2021-01-01,0.0
920,84,2021-01-01,0.0
921,85,2021-01-01,0.0
922,86,2021-01-01,0.0
923,87,2021-01-01,0.0
924,88,2021-01-01,0.0
925,89,2021-01-01,0.0
926,90,2021-01-01,0.0
927,91,2021-01-01,0.0
